t; alpha; omega
754; 3.1400000; -0.0000000
755; 3.1400000; -0.0000000
756; 3.1400000; -0.0000000
757; 3.1400000; -0.0000000
758; 3.1400000; -0.0000000
759; 3.1400000; -0.0000000
760; 3.1400000; -0.0000000
761; 3.1400000; -0.0000000
762; 3.1400000; -0.0000000
763; 3.1400000; -0.0000000
764; 3.1400000; -0.0000000
765; 3.1400000; -0.0000000
766; 3.1400000; -0.0000000
767; 3.1400000; -0.0000000
768; 3.1400000; -0.0000000
769; 3.1400000; -0.0000000
770; 3.1400000; -0.0000000
771; 3.1400000; -0.0000000
772; 3.1400000; -0.0000000
773; 3.1400000; -0.0000000
774; 3.1400000; -0.0000000
775; 3.1400000; -0.0000000
776; 3.1400000; -0.0000000
777; 3.1400000; -0.0000000
778; 3.1400000; -0.0000000
779; 3.1400000; -0.0000000
780; 3.1400000; -0.0000000
781; 3.1400000; -0.0000000
782; 3.1400000; -0.0000000
783; 3.1400000; -0.0000000
784; 3.1400000; -0.0000000
785; 3.1400000; -0.0000000
786; 3.1400000; -0.0000000
787; 3.1400000; -0.0000000
788; 3.1400000; -0.0000000
789; 3.1400000; -0.0000000
790; 3.1400000; -0.0000000
791; 3.1400000; -0.0000000
792; 3.1400000; -0.0000000
793; 3.1400000; -0.0000000
794; 3.1400000; -0.0000000
795; 3.1400000; -0.0000000
796; 3.1400000; -0.0000000
797; 3.1400000; -0.0000000
798; 3.1400000; -0.0000000
799; 3.1400000; -0.0000000
800; 3.1400000; -0.0000000
801; 3.1400000; -0.0000000
802; 3.1400000; -0.0000000
803; 3.1400000; -0.0000000
804; 3.1400000; -0.0000000
805; 3.1400000; -0.0000000
806; 3.1400000; -0.0000000
807; 3.1400000; -0.0000000
808; 3.1400000; -0.0000000
809; 3.1400000; -0.0000000
810; 3.1400000; -0.0000000
811; 3.1400000; -0.0000000
812; 3.1400000; -0.0000000
813; 3.1400000; -0.0000000
814; 3.1400000; -0.0000000
815; 3.1400000; -0.0000000
816; 3.1400000; -0.0000000
817; 3.1400000; -0.0000000
818; 3.1400000; -0.0000000
819; 3.1400000; -0.0000000
820; 3.1400000; -0.0000000
821; 3.1400000; -0.0000000
822; 3.1400000; -0.0000000
823; 3.1400000; -0.0000000
824; 3.1400000; -0.0000000
825; 3.1400000; -0.0000000
826; 3.1400000; -0.0000000
827; 3.1400000; -0.0000000
828; 3.1400000; -0.0000000
829; 3.1400000; -0.0000000
830; 3.1400000; -0.0000000
831; 3.1400000; -0.0000000
832; 3.1400000; -0.0000000
833; 3.1400000; -0.0000000
834; 3.1400000; -0.0000000
835; 3.1400000; -0.0000000
836; 3.1400000; -0.0000000
837; 3.1400000; -0.0000000
838; 3.1400000; -0.0000000
839; 3.1400000; -0.0000000
840; 3.1400000; -0.0000000
841; 3.1400000; -0.0000000
842; 3.1400000; -0.0000000
843; 3.1400000; -0.0000000
844; 3.1400000; -0.0000000
845; 3.1400000; -0.0000000
846; 3.1400000; -0.0000000
847; 3.1400000; -0.0000000
848; 3.1400000; -0.0000000
849; 3.1400000; -0.0000000
850; 3.1400000; -0.0000000
851; 3.1400000; -0.0000000
852; 3.1400000; -0.0000000
853; 3.1400000; -0.0000000
854; 3.1400000; -0.0000000
855; 3.1400000; -0.0000000
856; 3.1400000; -0.0000000
857; 3.1400000; -0.0000000
858; 3.1400000; -0.0000000
859; 3.1400000; -0.0000000
860; 3.1400000; -0.0000000
861; 3.1400000; -0.0000000
862; 3.1400000; -0.0000000
863; 3.1400000; -0.0000000
864; 3.1400000; -0.0000000
865; 3.1400000; -0.0000000
866; 3.1400000; -0.0000000
867; 3.1400000; -0.0000000
868; 3.1400000; -0.0000000
869; 3.1400000; -0.0000000
870; 3.1400000; -0.0000000
